Micrograph # ,,Scan Date,,Sample #,,Condition,,Tendon Origin,,Animal ID,,Avg. YM (Mpa),Avg. Width (nm),Avg. Height (nm)
12 (.540),,5.7.25,,44,,SF,,Gastrocnemius,,M22 GT-L2,,1.884,274.6993319,116.6
13 (.694),,5.7.25,,44,,SF,,Gastrocnemius,,M22 GT-L2,,1.289,220.7792151,65.78
14 (.739),,5.7.25,,44,,SF,,Gastrocnemius,,M22 GT-L2,,1.611,277.7255463,113.1
15 (.783),,5.7.25,,44,,SF,,Gastrocnemius,,M22 GT-L2,,1.709,240.4626326,133.4
16 (.827),,5.7.25,,44,,SF,,Gastrocnemius,,M22 GT-L2,,1.711,246.8736008,115.6
17 (.931),,5.7.25,,44,,SF,,Gastrocnemius,,M22 GT-L2,,1.257,231.508746,102.7
18 (.945),,5.7.25,,44,,SF,,Gastrocnemius,,M22 GT-L2,,2.539,251.3664699,108.7
19 (.999),,5.7.25,,44,,SF,,Gastrocnemius,,M22 GT-L2,,1.905,291.4103853,99.5
2 (.028),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.91,347.3901944,186.6
4 (.140),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.045,428.07005,212.2
5 (.183),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.11,217.0562761,116.7
6 (.224),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.867,208.021566,139.9
7 (.244),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.867,211.3280231,139.9
8 (.323),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.358,260.7875365,187.3
9 (.346) ,,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,2.485,242.6766873,180.9
10 (.412),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.548,362.0766301,179.3
11 (.505),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,2.245,180.1839164,94.6
12 (.508),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,2.293,142.8264382,105.6
14 (.680),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,2.125,171.8657083,94.8
15 (.787),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.674,240.2820033,168.7
17 (.868),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,3.735,128.6970765,83.13
18 (.870),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,2.452,202.2070346,139.4
20 (.913),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.471,250.5167796,131.8
21 (.923),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.758,291.9005903,200.3
22 (.927),,5.9.25,,50,,SF,,Gastrocnemius,,M22 GT-L1,,1.668,316.8753289,181.9
1 (.023),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,2.387,176.2122861,104.8
2 (.041),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,2.268,133.3963225,44
6 (.396)*,,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,1.87,220.8476727,109.4
8 (.551),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,3.81,127.8871957,73.81
9 (.562),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,1.731,207.629121,94.47
10 (.705),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,2.479,170.0076934,58.07
11 (.757),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,2.045,160.063678,48.76
12 (.800),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,2.855,195.7774975,73.57
14 (.876),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,4.98,144.6716274,66.97
15 (.972),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,4.41,142.6091621,75.89
17 (.997),,5.14.25,,58,,GC,,Gastrocnemius,,M39 GT-L1,,2.084,152.8174834,53.1
1 (.001),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,3.683,247.3567622,104.1
2 (.027),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,3.093,167.0698046,73.03
3 (.041),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,4.46,124.498288,43.92
4 (.146),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,6,81.90442915,36.45
5 (.173),,5.16.25,,49,,GC,,Gastrocnemius,,M39 GT-L2,,2.32,213.1423607,91.8
